2019-06-12 16:58:31 startup archives install
2019-06-12 16:58:32 install base-passwd:arm64 <none> 3.5.44
2019-06-12 16:58:32 status half-installed base-passwd:arm64 3.5.44
2019-06-12 16:58:32 status unpacked base-passwd:arm64 3.5.44
2019-06-12 16:58:32 status unpacked base-passwd:arm64 3.5.44
2019-06-12 16:58:32 configure base-passwd:arm64 3.5.44 3.5.44
2019-06-12 16:58:32 status unpacked base-passwd:arm64 3.5.44
2019-06-12 16:58:32 status half-configured base-passwd:arm64 3.5.44
2019-06-12 16:58:32 status installed base-passwd:arm64 3.5.44
2019-06-12 16:58:32 startup archives install
2019-06-12 16:58:32 install base-files:arm64 <none> 10.1ubuntu2
2019-06-12 16:58:32 status half-installed base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 configure base-files:arm64 10.1ubuntu2 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status half-configured base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 status installed base-files:arm64 10.1ubuntu2
2019-06-12 16:58:32 startup archives install
2019-06-12 16:58:32 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-06-12 16:58:32 status half-configured dpkg 1.19.0.5ubuntu2
2019-06-12 16:58:32 status unpacked dpkg 1.19.0.5ubuntu2
2019-06-12 16:58:32 status half-installed dpkg 1.19.0.5ubuntu2
2019-06-12 16:58:33 status half-installed dpkg 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 configure dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 status installed dpkg:arm64 1.19.0.5ubuntu2
2019-06-12 16:58:33 startup archives install
2019-06-12 16:58:33 install libc6:arm64 <none> 2.27-3ubuntu1
2019-06-12 16:58:33 status half-installed libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:33 status unpacked libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:34 status unpacked libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:34 configure libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2019-06-12 16:58:34 status unpacked libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:34 status unpacked libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:34 status half-configured libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:34 status installed libc6:arm64 2.27-3ubuntu1
2019-06-12 16:58:34 startup archives install
2019-06-12 16:58:34 install perl-base:arm64 <none> 5.26.1-6
2019-06-12 16:58:34 status half-installed perl-base:arm64 5.26.1-6
2019-06-12 16:58:34 status unpacked perl-base:arm64 5.26.1-6
2019-06-12 16:58:34 status unpacked perl-base:arm64 5.26.1-6
2019-06-12 16:58:34 configure perl-base:arm64 5.26.1-6 5.26.1-6
2019-06-12 16:58:34 status unpacked perl-base:arm64 5.26.1-6
2019-06-12 16:58:34 status half-configured perl-base:arm64 5.26.1-6
2019-06-12 16:58:34 status installed perl-base:arm64 5.26.1-6
2019-06-12 16:58:34 startup archives install
2019-06-12 16:58:34 install mawk:arm64 <none> 1.3.3-17ubuntu3
2019-06-12 16:58:34 status half-installed mawk:arm64 1.3.3-17ubuntu3
2019-06-12 16:58:34 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-06-12 16:58:34 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-06-12 16:58:34 configure mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-06-12 16:58:34 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-06-12 16:58:34 status half-configured mawk:arm64 1.3.3-17ubuntu3
2019-06-12 16:58:34 status installed mawk:arm64 1.3.3-17ubuntu3
2019-06-12 16:58:35 startup archives unpack
2019-06-12 16:58:35 upgrade base-files:arm64 10.1ubuntu2 10.1ubuntu2
2019-06-12 16:58:35 status half-configured base-files:arm64 10.1ubuntu2
2019-06-12 16:58:35 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:35 status half-installed base-files:arm64 10.1ubuntu2
2019-06-12 16:58:35 status half-installed base-files:arm64 10.1ubuntu2
2019-06-12 16:58:35 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:35 status unpacked base-files:arm64 10.1ubuntu2
2019-06-12 16:58:35 upgrade base-passwd:arm64 3.5.44 3.5.44
2019-06-12 16:58:35 status half-configured base-passwd:arm64 3.5.44
2019-06-12 16:58:35 status unpacked base-passwd:arm64 3.5.44
2019-06-12 16:58:35 status half-installed base-passwd:arm64 3.5.44
2019-06-12 16:58:35 status half-installed base-passwd:arm64 3.5.44
2019-06-12 16:58:35 status unpacked base-passwd:arm64 3.5.44
2019-06-12 16:58:35 status unpacked base-passwd:arm64 3.5.44
2019-06-12 16:58:35 install bash:arm64 <none> 4.4.18-2ubuntu1
2019-06-12 16:58:35 status half-installed bash:arm64 4.4.18-2ubuntu1
2019-06-12 16:58:35 status unpacked bash:arm64 4.4.18-2ubuntu1
