561131727600: system.l2.prefetcher: insert indexQueue: indexPC 400f30 cID 0
561131806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561132206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561132606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561133006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561133406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561133806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561134206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561135006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561135806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561136606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561137406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561138206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561139006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561139806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561140606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561141406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561142206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561143006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561143806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561144606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561145406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561146206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561147006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561147806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561148606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561149406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561150206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561151006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561151806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561152606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561153406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561154206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561155006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561155806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561156606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561157406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561158206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561159006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561159806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561160606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561162206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561165806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561169406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561173006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561176606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561180206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561183806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561187406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561191006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561194606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561198206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561201806400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561205406400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561209006400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561212606400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
561216206400: system.l2.prefetcher: pick for ICS: indexPC 400f30 cID 0
