
---------- Begin Simulation Statistics ----------
simSeconds                                   5.511455                       # Number of seconds simulated (Second)
simTicks                                 5511454542000                       # Number of ticks simulated (Tick)
finalTick                                8997884000800                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  29899.61                       # Real time elapsed on the host (Second)
hostTickRate                                184331981                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9141088                       # Number of bytes of host memory used (Byte)
simInsts                                   3135944890                       # Number of instructions simulated (Count)
simOps                                     3459426053                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   104882                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     115701                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 8997884000800                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                      13778636355                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1005757597                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   396523                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1016901428                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               19075372                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            229032985                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         402418029                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                7447                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13777600141                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.073808                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.349227                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               13039061823     94.64%     94.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 550733803      4.00%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  97554063      0.71%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  89942316      0.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    308129      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         7      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           13777600141                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                48733148     14.21%     14.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  34093      0.01%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   39290      0.01%     14.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.23% # attempts to use FU when none available (Count)
