
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003666                       # Number of seconds simulated (Second)
simTicks                                   3665770000                       # Number of ticks simulated (Tick)
finalTick                                517058472800                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    113.09                       # Real time elapsed on the host (Second)
hostTickRate                                 32414408                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9141092                       # Number of bytes of host memory used (Byte)
simInsts                                    295359844                       # Number of instructions simulated (Count)
simOps                                      338318890                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  2611704                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    2991567                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 517058472800                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9164425                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2830960                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1448                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2544602                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33079                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               371407                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            652637                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9074539                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.280411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.678111                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7437330     81.96%     81.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    992146     10.93%     92.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    383865      4.23%     97.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    260068      2.87%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      1128      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9074539                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  126404     16.77%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     70      0.01%     16.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     127      0.02%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.80% # attempts to use FU when none available (Count)
