
---------- Begin Simulation Statistics ----------
simSeconds                                   1.053738                       # Number of seconds simulated (Second)
simTicks                                 1053738208800                       # Number of ticks simulated (Tick)
finalTick                                2212015758800                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  12051.80                       # Real time elapsed on the host (Second)
hostTickRate                                 87434109                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9140064                       # Number of bytes of host memory used (Byte)
simInsts                                    993161237                       # Number of instructions simulated (Count)
simOps                                     1104670206                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    82408                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      91660                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2212015758800                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2634345522                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       250409025                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    92962                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      245111282                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                4780505                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             56835501                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         100017290                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1372                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2634160499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.093051                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.392589                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2458626882     93.34%     93.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 128149854      4.86%     98.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  25262933      0.96%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  22047761      0.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     73066      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2634160499                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11746894     14.55%     14.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   7044      0.01%     14.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    7485      0.01%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     14.57% # attempts to use FU when none available (Count)
