
---------- Begin Simulation Statistics ----------
simSeconds                                   1.503028                       # Number of seconds simulated (Second)
simTicks                                 1503028139200                       # Number of ticks simulated (Tick)
finalTick                                3487150842000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  19756.66                       # Real time elapsed on the host (Second)
hostTickRate                                 76077044                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9151344                       # Number of bytes of host memory used (Byte)
simInsts                                   1780753449                       # Number of instructions simulated (Count)
simOps                                     1978283453                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    90134                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     100132                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 3487150842000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3757570348                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       478141684                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    24306                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      399202318                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                8463727                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            108329049                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         180705091                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1544                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3757458577                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.106243                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.419667                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3473347020     92.44%     92.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 206400789      5.49%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  40346970      1.07%     99.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37347606      0.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     16189      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3757458577                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                16382016     14.37%     14.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   6368      0.01%     14.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   10629      0.01%     14.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.39% # attempts to use FU when none available (Count)
